ticketNo,price,line1,line2,line3,line4,line5,line6,line7,line8,line9,line10,line11,line12,line13,line14,line15,line16,line17,line18,line19,line18,line19,line20
107,763,,,,,,,,,,,,,,Rambawewa,Rambawewa,Rambawewa,,,,,Rambawewa,Yaya 2 Handiya
108,769,,,,,,,,,,,,,,Rambewa,Rambewa,Rambewa,,,,,Rambewa,Walekade Handiya
109,777,,,,,,,,,,,,,,Weelioya Handiya,Weelioya Handiya,Weelioya Handiya,,,,,Weelioya Handiya,Rambewa
110,782,,,,,,,,,,,,,,Ikirigollewa,Ikirigollewa,Ikirigollewa,,,,,Ikirigollewa,Weelioya Handiya
111,790,,,,,,,,,,,,,,Wahamalugollewa,Wahamalugollewa,Wahamalugollewa,,,,,Wahamalugollewa,Ikirigollewa
112,796,,,,,,,,,,,,,,Sangilikanadarawa,Sangilikanadarawa,Sangilikanadarawa,,,,,Sangilikanadarawa,Wahamalugollewa
113,804,,,,,,,,,,,,,,Medawachchiya,Medawachchiya,Medawachchiya,,,,,Medawachchiya,Sangilikanadarawa
114,809,,,,,,,,,,,,,,Medawachchiya Bus Stand,Medawachchiya Bus Stand,Medawachchiya Bus Stand,,,,,Medawachchiya Bus Stand,Medawachchiya
115,817,,,,,,,,,,,,,,,,Kebithigollewa Junction,,,,,Kebithigollewa Junction,Medawachchiya Bus Stand
116,823,,,,,,,,,,,,,,Medawachchiya Railway Station,Medawachchiya Railway Station,Ihalathammannwa,,,,,Ihalathammannwa,Kebithigollewa Junction
117,830,,,,,,,,,,,,,,Kadawathgama,Kadawathgama,3KM Post,,,,,3KM Post,Isinbessagala
118,836,,,,,,,,,,,,,,7KM Post,7KM Post,Mahadiwulwewa,,,,,Mahadiwulwewa,Pillayar Kovil
119,842,,,,,,,,,,,,,,Rambakulama ,Rambakulama ,Ateweeragollewa,,,,,Ateweeragollewa,Navy Camp
120,849,,,,,,,,,,,,,,Yakawewa,Yakawewa,Kumbukgollewa,,,,,Kumbukgollewa,Poonewa
121,855,,,,,,,,,,,,,,Peekupu Idam,Peekupu Idam,Athaakada,,,,,Athaakada,Siyambalagaswewa 2
122,863,,,,,,,,,,,,,,Maankulam,Maankulam,14th Milepost,,,,,14th Milepost,Mahakumbukgollewa
123,869,,,,,,,,,,,,,,Neriyakulam,Neriyakulam,Irallugama Handiya,,,,,Irallugama Handiya,Galkandegama 2
124,876,,,,,,,,,,,,,,Thanthirimale Junction,Thanthirimale Junction,18th Milepost,,,,,18th Milepost,Galkundamadu Handiya
125,882,,,,,,,,,,,,,,Mudaliyaarkulam,Mudaliyaarkulam,Goonamariyawa,,,,,Goonamariyawa,Irattiperiyamkulama
126,890,,,,,,,,,,,,,,Muhaththaankulam,Muhaththaankulam,22nd Milepost,,,,,22nd Milepost,Muundruiyrippu
127,895,,,,,,,,,,,,,,Cheddikulam,Cheddikulam,24th Milepost,,,,,24th Milepost,Vavuniya
128,903,,,,,,,,,,,,,,27KM Post,27KM Post,Kebithigollewa,,,,,Kebithigollewa,Department of Agriculture
129,909,,,,,,,,,,,,,,Kallarupalama,Kallarupalama,Ihalagama Handiya,,,,,Ihalagama Handiya,Thaandikulam
130,916,,,,,,,,,,,,,,32KM Post,32KM Post,Galkandegama,,,,,Galkandegama,Kokeliya Gammana Para
131,922,,,,,,,,,,,,,,Andiyapuliyankulam,Andiyapuliyankulam,Mahanatiyawa,,,,,Mahanatiyawa,Pudiya Sinnakulam Junction
132,930,,,,,,,,,,,,,,Uuthadi,Uuthadi,Galawewa,,,,,Galawewa,Omanthai 187KM Post
133,936,,,,,,,,,,,,,,Periyakaaddu,Periyakaaddu,Thiththagoonewa Handiya,,,,,Thiththagoonewa Handiya,Omanthai Co-Op
134,943,,,,,,,,,,,,,,41KM Post,41KM Post,Thammannawa,,,,,Thammannawa,Omanthai Madya Maha Vidyalaya
135,949,,,,,,,,,,,,,,Parayanaarankulam,Parayanaarankulam,,,,,,,Omanthai Checkpoint
136,957,,,,,,,,,,,,,,Kunchikulam Junction,Kunchikulam Junction,Herath Halmillewa,,,,,Herath Halmillewa,194KM Post
137,962,,,,,,,,,,,,,,Madu Road,Madu Road,Kahatagollewa,,,,,Kahatagollewa,Pandikeyidakulam
138,970,,,,,,,,,,,,,,49KM Post,49KM Post,Galpiyuma,,,,,Galpiyuma,Puliyankulam Filling Station
139,976,,,,,,,,,,,,,,Kaddei Adampei,Kaddei Adampei,,,,,,,Puliyankulam 200KM Post
140,981,,,,,,,,,,,,,,Pannawadduwaan,Pannawadduwaan,Bellan kadawala,,,,,Bellan kadawala,Puliyankulam (Nadunkeerthi Rd)
141,989,,,,,,,,,,,,,,,,,,,,,,Murandu Murippukulam
142,995,,,,,,,,,,,,,,Galkadandakulam,Galkadandakulam,Aluth Halmillewa,,,,,Boralu Kanda,Parasankulam
143,1003,,,,,,,,,,,,,,Murunkan,Murunkan,Ruwanpura,,,,,Padaviya Junction,Puduwuur Junction
144,1008,,,,,,,,,,,,,,Semmantheew,Semmantheew,Sorowwa Junction,,,,,A Yaya,Kanagaraajakulam Kovil
145,1016,,,,,,,,,,,,,,Agathikaali Junction,Agathikaali Junction,Mahasenpura,,,,,B Yaya,Kanagaraajakulam Madya Vidyalaya
146,1022,,,,,,,,,,,,,,Uyintharaasankulam,Uyintharaasankulam,6th Milepost,,,,,Wellangas Junction,Kanagaraajakulam Health Center
147,1029,,,,,,,,,,,,,,Parappannkandal,Parappannkandal,Old Medawachchiya ,,,,,,Periyakulam Tamil Madya Vidyalaya
148,1035,,,,,,,,,,,,,,Uyilankulam,Uyilankulam,Eramaduwewa,,,,,Parakramapura,Mannakulam Junction
149,1043,,,,,,,,,,,,,,Nochchikulam,Nochchikulam,10th Milepost,,,,,Maithree Mawatha,Telecommunication Tower
150,1048,,,,,,,,,,,,,,Seerunawalkulam,Seerunawalkulam,,,,,,Thonigala,Kunchikulam 221KM Post
151,1056,,,,,,,,,,,,,,Thiruketheeswaram,Thiruketheeswaram,Shaanthipura,,,,,Galkulama,Maankulam (Mullaitivu Rd)
152,1062,,,,,,,,,,,,,,Mullapallawi,Mullapallawi,,,,,,Galkulama Junction,Maankulam Madya Vidyalaya
153,1069,,,,,,,,,,,,,,Waankaalei Junction,Waankaalei Junction,,,,,,Palugas Junction,
154,1075,,,,,,,,,,,,,,Thaladi Junction,Thaladi Junction,Pulmoddai Police,,,,,Sri Pura,Panikkaankulam Tamil Madya Vidyalaya
155,1083,,,,,,,,,,,,,,83KM Post,83KM Post,Pulmoddai,,,,,,
156,1089,,,,,,,,,,,,,,Mannar,Mannar,,,,,,,
157,1096,,,,,,,,,,,,,,,Periyakaamam,,,,,,,
158,1102,,,,,,,,,,,,,,,89KM Post,,,,,,,Palayamurugandi Kovil
159,1110,,,,,,,,,,,,,,,Tharapuram Junction,,,,,,,
160,1115,,,,,,,,,,,,,,,Erikkulampitiya Junction,,,,,,,Kokavil
161,1123,,,,,,,,,,,,,,,Puthukkudiyiruppu,,,,,,,
162,1129,,,,,,,,,,,,,,,Olaiththoduvai Junction,,,,,,,Murugandi Kovil
163,1135,,,,,,,,,,,,,,,Karaisal,,,,,,,Faculty of Agriculture
164,1142,,,,,,,,,,,,,,,Siruththoppu,,,,,,,Iranamadu Junction
165,1148,,,,,,,,,,,,,,,Pesalai,,,,,,,Kilinochchi
166,1156,,,,,,,,,,,,,,,Thullukudiyiruppu,,,,,,,Kilinochchi District Hospital
167,1161,,,,,,,,,,,,,,,Nadukkuda Junction,,,,,,,Kilinochchi Water Tank
168,1169,,,,,,,,,,,,,,,Keeliyan Kudiyiruppu,,,,,,,Karadipork Junction
169,1175,,,,,,,,,,,,,,,Paridipannei,,,,,,,
170,1182,,,,,,,,,,,,,,,Kaddukarankudiyiruppu,,,,,,,Paranthan
171,1188,,,,,,,,,,,,,,,Talaimannar Village Junction,,,,,,,Umayaanpuram Grama Niladari Office
172,1196,,,,,,,,,,,,,,,Talaimannar Pier,,,,,,,Umayaanpuram Kovil
173,1201,,,,,,,,,,,,,,,,,,,,,,
174,1209,,,,,,,,,,,,,,,,,,,,,,Elephant Pass Gamini Kularathne Memorial
175,1215,,,,,,,,,,,,,,,,,,,,,,Elephant Pass Army Memorials
176,1223,,,,,,,,,,,,,,,,,,,,,,
177,1228,,,,,,,,,,,,,,,,,,,,,,Ayiyakachchi Tamil Madya Vidyalaya
178,1236,,,,,,,,,,,,,,,,,,,,,,
179,1242,,,,,,,,,,,,,,,,,,,,,,Pudukaadu Junction
180,1249,,,,,,,,,,,,,,,,,,,,,,
181,1255,,,,,,,,,,,,,,,,,,,,,,Palei
182,1263,,,,,,,,,,,,,,,,,,,,,,Palei Marketplace
183,1268,,,,,,,,,,,,,,,,,,,,,,
184,1274,,,,,,,,,,,,,,,,,,,,,,Muhamalai
185,1282,,,,,,,,,,,,,,,,,,,,,,Muhamalai Stop
186,1288,,,,,,,,,,,,,,,,,,,,,,
187,1295,,,,,,,,,,,,,,,,,,,,,,Aasai Pillei Eeththam
188,1301,,,,,,,,,,,,,,,,,,,,,,Miriswill
189,1309,,,,,,,,,,,,,,,,,,,,,,Kodikamam Town
190,1314,,,,,,,,,,,,,,,,,,,,,,Kodikamam Murugan Kovil
191,1322,,,,,,,,,,,,,,,,,,,,,,Puththur
192,1328,,,,,,,,,,,,,,,,,,,,,,Arasadi Junction
193,1335,,,,,,,,,,,,,,,,,,,,,,Chavakachcheri
194,1341,,,,,,,,,,,,,,,,,,,,,,Chavakachcheri Aiiyar Rd
195,1349,,,,,,,,,,,,,,,,,,,,,,Chavakachcheri Police Station
196,1355,,,,,,,,,,,,,,,,,,,,,,Kaithady Bridge
197,1362,,,,,,,,,,,,,,,,,,,,,,Kaithady
198,1368,,,,,,,,,,,,,,,,,,,,,,Navathkuli
199,1376,,,,,,,,,,,,,,,,,,,,,,Semmani
200,1381,,,,,,,,,,,,,,,,,,,,,,Ariyalai Junction
201,1389,,,,,,,,,,,,,,,,,,,,,,Ariyalai
202,1395,,,,,,,,,,,,,,,,,,,,,,Jaffna Kachcheri
203,1402,,,,,,,,,,,,,,,,,,,,,,Jaffna 
204,1408,,,,,,,,,,,,,,,,,,,,,,
205,1416,,,,,,,,,,,,,,,,,,,,,,
206,1421,,,,,,,,,,,,,,,,,,,,,,
207,1427,,,,,,,,,,,,,,,,,,,,,,
208,1435,,,,,,,,,,,,,,,,,,,,,,
209,1441,,,,,,,,,,,,,,,,,,,,,,
210,1448,,,,,,,,,,,,,,,,,,,,,,
211,1454,,,,,,,,,,,,,,,,,,,,,,
212,1462,,,,,,,,,,,,,,,,,,,,,,
213,1467,,,,,,,,,,,,,,,,,,,,,,
214,1475,,,,,,,,,,,,,,,,,,,,,,
215,1481,,,,,,,,,,,,,,,,,,,,,,
216,1488,,,,,,,,,,,,,,,,,,,,,,
217,1494,,,,,,,,,,,,,,,,,,,,,,
218,1502,,,,,,,,,,,,,,,,,,,,,,
219,1508,,,,,,,,,,,,,,,,,,,,,,
220,1515,,,,,,,,,,,,,,,,,,,,,,
